,Identifier,Start date,End date,Number of deaths,Incident,State
3499,IBD028453,2023-11-17,2023-11-17,1,Bandits vs Pastor,Kaduna
3502,IBD028438,2023-11-17,2023-11-17,5,Gunmen vs Policemen,Ebonyi
3503,IBD028459,2023-11-17,2023-11-17,1,Cult Killing,Nasarawa
3504,IBD028613,2023-11-17,2023-11-17,1,Birth Complications,Ogun
3505,IBD028449,2023-11-16,2023-11-16,24,Soldiers vs Boko Haram,Kaduna
3506,IBD028433,2023-11-16,2023-11-16,1,Shi'ites Protest,Kaduna
3507,IBD028431,2023-11-16,2023-11-16,1,Building Collapse,Lagos
3508,IBD028440,2023-11-16,2023-11-16,10,Boat Mishap,Niger
3509,IBD028444,2023-11-16,2023-11-16,1,Domestic Violence,Gombe
3510,IBD028439,2023-11-16,2023-11-16,6,Army vs Bandits,Kaduna
3511,IBD028424,2023-11-15,2023-11-15,1,Domestic Violence,Kaduna
3512,IBD029137,2023-11-15,2023-11-15,1,Kidnappers vs Aide,(FCT) Abuja
3513,IBD028559,2023-11-15,2023-11-15,1,Pregnant Woman,Rivers
3514,IBD029093,2023-11-15,2023-11-15,2,Gunmen vs Vigilantes,Ebonyi
3515,IBD031648,2023-11-15,2023-11-15,1,Assailants vs Woman,Kano
3516,IBD028447,2023-11-15,2023-11-15,6,Banditry,Sokoto
3517,IBD028430,2023-11-15,2023-11-15,1,Hoodlums Kill Woman,Ondo
3518,IBD028428,2023-11-15,2023-11-15,2,Fire Incidents,Borno
3519,IBD028418,2023-11-14,2023-11-14,6,Auto Crash,Ogun
3520,IBD028414,2023-11-14,2023-11-14,7,Auto Crash,Abia
3521,IBD028432,2023-11-14,2023-11-14,1,Kidnappers Kill Pastor,Kogi
3522,IBD028382,2023-11-14,2023-11-14,1,Army vs Terrorists,Kaduna
3523,IBD028450,2023-11-13,2023-11-13,1,Auto Crash,Edo
3524,IBD028396,2023-11-13,2023-11-13,1,Domestic Violence,Benue
3525,IBD028403,2023-11-13,2023-11-13,20,Boat Mishap,Taraba
3526,IBD028422,2023-11-13,2023-11-13,2,Army vs Bandits,Kaduna
3527,IBD028420,2023-11-13,2023-11-13,1,Cult Clash,Delta
3528,IBD028409,2023-11-13,2023-11-13,2,Gunmen Kill 2,Oyo
3529,IBD028408,2023-11-13,2023-11-13,2,Auto Crash,Lagos
3530,IBD028416,2023-11-13,2023-11-13,3,Auto Crash,Cross River
3531,IBD028395,2023-12-11,2023-12-11,1,Political Violence,Bayelsa
3532,IBD028401,2023-12-11,2023-12-11,2,Gunmen Attack,Kwara
3533,IBD028394,2023-12-11,2023-12-11,6,Cultists Kill 5,Rivers
3534,IBD028411,2023-12-11,2023-12-11,28,Police vs Bandits,Zamfara
3535,IBD028405,2023-12-11,2023-12-11,3,Cult Killing,Ogun
3536,IBD028392,2023-12-11,2023-12-11,5,Auto Crash,Ogun
3537,IBD028458,2023-12-11,2023-11-15,4,Banditry,Sokoto
3538,IBD028410,2023-12-11,2023-12-11,1,Robbers vs Motorcyclist,Oyo
3539,IBD028651,2023-12-11,2023-12-11,3,Auto Crash,Lagos
3540,IBD028456,2023-12-11,2023-11-15,4,Banditry,Sokoto
3541,IBD028400,2023-12-11,2023-12-11,12,Auto Crash,Kano
3542,IBD028425,2023-11-11,2023-11-11,1,Corpse Found,Ondo
3543,IBD028399,2023-11-11,2023-11-11,1,Female Peacemaker,Lagos
3544,IBD028389,2023-11-11,2023-11-11,2,Political Violence,Kogi
3545,IBD028421,2023-11-11,2023-11-11,1,Hoodlums vs Politician,Lagos
3546,IBD028500,2023-11-11,2023-11-11,1,Auto Crash,Ondo
3547,IBD028404,2023-11-11,2023-11-11,2,Army vs Bandits,Kaduna
3548,IBD028407,2023-11-11,2023-11-11,1,Girl Dies Inside Well,(FCT) Abuja
3549,IBD028393,2023-11-11,2023-11-11,1,Police vs Kidnapper,Katsina
3550,IBD028390,2023-11-11,2023-11-11,1,Political Violence,Bayelsa
3551,IBD028402,2023-11-11,2023-11-11,1,Political Violence,Anambra
3552,IBD028406,2023-11-11,2023-12-11,10,Herders Kill 10,Benue
3553,IBD028427,2023-11-11,2023-11-11,2,Auto Crash,Bauchi
3554,IBD028426,2023-11-11,2023-11-11,1,Auto Crash,Bauchi
3555,IBD028415,2023-11-11,2023-11-11,1,Political Violence,Kogi
3556,IBD028380,2023-10-11,2023-10-11,1,Ritual Killing,Oyo
3557,IBD028398,2023-10-11,2023-10-11,1,Assailants vs Teenager,(FCT) Abuja
3558,IBD028423,2023-10-11,2023-10-11,1,Retired Permanent Secretory,Oyo
3559,IBD028384,2023-10-11,2023-10-11,1,Auto Crash,Lagos
3560,IBD028377,2023-10-11,2023-10-11,2,Auto Crash,Ogun
3561,IBD028383,2023-10-11,2023-10-11,2,Cult Clash,Ogun
3562,IBD028379,2023-10-11,2023-10-11,1,Herdsmen Attack,Enugu
3563,IBD028413,2023-10-11,2023-10-11,1,Security Guard,Ogun
3564,IBD028434,2023-10-11,2023-10-11,1,Gunmen vs Motorcyclist,Lagos
3565,IBD028387,2023-10-11,2023-10-11,3,Security Operatives vs Kidnappers,Kebbi
3566,IBD028429,2023-10-11,2023-10-11,1,Motorist Dies,Lagos
3567,IBD028385,2023-09-11,2023-09-11,1,Auto Crash,Lagos
3568,IBD028362,2023-09-11,2023-09-11,6,Boko Haram/ISWAP Mine Explosion,Borno
3569,IBD028560,2023-08-11,2023-08-11,1,OAU Student,Ogun
3570,IBD028368,2023-08-11,2023-08-11,5,Banditry,Sokoto
3571,IBD028370,2023-08-11,2023-08-11,1,Student vs Teacher,Taraba
3572,IBD028361,2023-08-11,2023-08-11,4,Vigilante Group vs Fulani,Niger
3573,IBD028373,2023-08-11,2023-08-11,2,Ritual Killing,Ondo
3574,IBD028366,2023-08-11,2023-08-11,1,Scavenger,Rivers
3575,IBD028397,2023-08-11,2023-08-11,20,NAF vs Boko Haram,Borno
3576,IBD028461,2023-08-11,2023-08-11,1,Man vs Okada Rider,Benue
3577,IBD028360,2023-07-11,2023-07-11,2,Banditry,Kaduna
3578,IBD028363,2023-07-11,2023-07-11,1,Commercial Motorcyclist,(FCT) Abuja
3579,IBD028369,2023-07-11,2023-07-11,1,Man Drowns,Kwara
3580,IBD028353,2023-07-11,2023-07-11,1,Electrocution,Ogun
3581,IBD028367,2023-07-11,2023-07-11,1,Corpse Found,Rivers
3582,IBD028378,2023-07-11,2023-07-11,1,Motorcycle Thief Lynched,Benue
3583,IBD028357,2023-07-11,2023-07-11,10,Political Violence,Kogi
3584,IBD028571,2023-07-11,2023-07-11,1,Man Killed,Lagos
3585,IBD028419,2023-07-11,2023-07-11,1,Man vs Police,Plateau
3586,IBD028349,2023-07-11,2023-07-11,2,Cult Clash,Lagos
3587,IBD028460,2023-07-11,2023-09-11,36,Banditry,(FCT) Abuja
3588,IBD028787,2023-07-11,2023-07-11,1,Security Operatives vs Woman,Nasarawa
3589,IBD028351,2023-07-11,2023-07-11,2,Landlord Election,Anambra
3590,IBD028381,2023-06-11,2023-06-11,1,Detainee vs Police Officer,Lagos
3591,IBD028339,2023-06-11,2023-06-11,3,Inferno at Embassy,(FCT) Abuja
3592,IBD028347,2023-06-11,2023-06-11,10,Gunmen Attack,Benue
3593,IBD028365,2023-06-11,2023-06-11,11,Banditry,Sokoto
3594,IBD028417,2023-06-11,2023-06-11,1,Assailants vs Man,Plateau
3595,IBD028346,2023-06-11,2023-06-11,5,Herdsmen Attack,Benue
3596,IBD028348,2023-06-11,2023-06-11,1,Bullet Proof Charm,Bauchi
3597,IBD028354,2023-06-11,2023-06-11,4,Boat Mishap,Nasarawa
3598,IBD028356,2023-06-11,2023-06-11,1,Boy Drowns,Kwara
3599,IBD028350,2023-06-11,2023-06-11,5,Bandits Kill 5,Katsina
3600,IBD028359,2023-06-11,2023-06-11,4,Army vs Terrorists,Plateau
3601,IBD028332,2023-05-11,2023-05-11,1,Boko Haram vs Businessman,Borno
3602,IBD028341,2023-05-11,2023-05-11,1,Banditry,Niger
3603,IBD028331,2023-05-11,2023-05-11,2,Banditry,Zamfara
3604,IBD028244,2023-05-11,2023-05-11,12,Boko Haram Attack,Borno
3605,IBD028343,2023-05-11,2023-05-11,1,Army vs Bandits,Kaduna
3606,IBD028333,2023-05-11,2023-05-11,1,Mob Kill Bike Thief,Niger
3607,IBD028336,2023-05-11,2023-05-11,20,Banditry,Katsina
3608,IBD028345,2023-05-11,2023-05-11,3,Troops vs Bandits,Kaduna
3609,IBD028342,2023-05-11,2023-05-11,2,Army vs Bandits,Kaduna
3610,IBD028364,2023-04-11,2023-04-11,1,Mob Kill Suspected Thief,Bauchi
3611,IBD028330,2023-04-11,2023-04-11,3,Lightning Kills 3,Anambra
3612,IBD028328,2023-04-11,2023-04-11,40,Soldiers vs Bandits,Zamfara
3613,IBD028358,2023-04-11,2023-04-11,1,Political Violence,Bayelsa
3614,IBD028323,2023-03-11,2023-03-11,4,Piracy,Rivers
3615,IBD028326,2023-03-11,2023-03-11,21,Gang War,Benue
3616,IBD028371,2023-03-11,2023-03-11,2,Army vs Bandits,Kaduna
3617,IBD028412,2023-03-11,2023-03-11,1,Worshipper Dies During Revival,Ogun
3618,IBD028320,2023-03-11,2023-03-11,11,Auto Crash,Kebbi
3619,IBD028322,2023-03-11,2023-03-11,80,Soldiers vs Boko Haram,Borno
3620,IBD031259,2023-02-11,2023-02-11,1,Kidnappers Kill Man,Niger
3621,IBD028315,2023-02-11,2023-02-11,8,Auto Crash,(FCT) Abuja
3622,IBD028321,2023-02-11,2023-02-11,80,Soldiers vs Boko Haram,Yobe
3623,IBD028318,2023-02-11,2023-02-11,6,Banditry,Sokoto
3624,IBD028344,2023-02-11,2023-02-11,1,Woman Inside Canal,Ogun
3625,IBD028334,2023-02-11,2023-02-11,2,Hoodlums vs Man,Bauchi
3626,IBD028374,2023-02-11,2023-02-11,1,Army vs Bandits,Kaduna
3627,IBD028733,2023-02-11,2023-02-11,2,Gunmen Kill 2,Plateau
3628,IBD028569,2023-01-11,2023-11-30,2,Inferno,Kano
3629,IBD028325,2023-01-11,2023-01-11,1,Police vs Armed Robbers,Rivers
3630,IBD028311,2023-01-11,2023-01-11,15,Terrorists vs Travelers,Zamfara
3631,IBD028319,2023-01-11,2023-01-11,1,Police Kill Kidnapper,Bauchi
3632,IBD028314,2023-01-11,2023-01-11,2,Security Operatives vs Kidnappers,Plateau
3633,IBD028307,2023-01-11,2023-01-11,2,Mob vs Thugs,Anambra
3634,IBD028617,2023-01-11,2023-01-11,1,Assailants vs Man,Enugu
3635,IBD028324,2023-01-11,2023-01-11,10,Soldiers vs Bandits,Zamfara
3636,IBD028309,2023-01-11,2023-01-11,1,1 Killed,Imo
3637,IBD028375,2023-01-11,2023-01-11,4,Army vs Bandits,Kaduna
3638,IBD028292,2023-10-31,2023-10-31,1,Building Collapse,Ekiti
3639,IBD028295,2023-10-31,2023-10-31,3,Auto Crash,Lagos
3640,IBD028306,2023-10-31,2023-10-31,1,Villagers vs Bandits,Bauchi
3641,IBD028296,2023-10-31,2023-10-31,1,Banditry,Kaduna
3642,IBD028327,2023-10-31,2023-01-11,10,Soldiers vs Bandits,Katsina
3643,IBD028298,2023-10-31,2023-10-31,1,Sex Romp,Kwara
3644,IBD028313,2023-10-31,2023-10-31,1,Mysterious Death,Lagos
3645,IBD028310,2023-10-31,2023-10-31,22,Boko Haram Attack,Yobe
3646,IBD028304,2023-10-31,2023-10-31,12,Auto Crash,Zamfara
3647,IBD028297,2023-10-30,2023-10-30,3,Army vs Terrorists,Zamfara
3648,IBD028293,2023-10-30,2023-10-30,1,Boko Haram vs Police,Borno
3649,IBD028302,2023-10-30,2023-10-30,1,Soldiers vs Bandit,Kaduna
3650,IBD028300,2023-10-30,2023-10-30,1,Gunmen vs Traditional Ruler,Taraba
3651,IBD028317,2023-10-30,2023-10-30,1,Protester Killed,Rivers
3652,IBD028335,2023-10-30,2023-10-31,39,Boko Haram Attack,Borno
3653,IBD028299,2023-10-30,2023-10-30,3,Army vs Bandits,Kebbi
3654,IBD028303,2023-10-30,2023-10-30,25,Boko Haram Attack,Yobe
3655,IBD028272,2023-10-29,2023-10-29,1,Assailants vs Lecturer,Niger
3656,IBD028286,2023-10-29,2023-10-29,3,Herdsmen Attack,Benue
3657,IBD028290,2023-10-29,2023-10-29,2,Security Operatives vs Gunmen,Anambra
3658,IBD028278,2023-10-29,2023-10-29,3,Bandits Kill Teacher,Kaduna
3659,IBD028281,2023-10-29,2023-10-29,1,Boko Haram Attack,Borno
3660,IBD028285,2023-10-29,2023-10-29,4,Herdsmen Attack,Benue
3661,IBD028289,2023-10-29,2023-10-29,22,NAF vs Boko Haram Terrorists,Borno
3662,IBD028271,2023-10-28,2023-10-28,95,Boat Mishap,Taraba
3663,IBD028316,2023-10-28,2023-10-28,2,Bandits Kill 2,Kaduna
3664,IBD028329,2023-10-28,2023-10-28,1,Herdsmen vs Man,Plateau
3665,IBD028355,2023-10-28,2023-10-28,3,Assailants vs Motorcyclist,Plateau
3666,IBD028277,2023-10-28,2023-10-28,1,Kidnappers Kill Baby,Kwara
3667,IBD028279,2023-10-28,2023-10-28,2,Army vs Terrorists,Anambra
3668,IBD028275,2023-10-28,2023-10-28,2,Two Men Die,Kano
3669,IBD028352,2023-10-28,2023-10-28,1,Robbery Gang Killed,Ondo
3670,IBD028274,2023-10-28,2023-10-28,1,Gunmen Kill 1,Benue
3671,IBD028276,2023-10-28,2023-10-28,9,Sea Pirates vs Fishermen,Akwa Ibom
3672,IBD029525,2023-10-27,2023-10-27,2,Gunmen vs Policemen,Abia
3673,IBD031414,2023-10-27,2023-10-27,1,Man Kills Baby,Delta
3674,IBD028273,2023-10-27,2023-10-27,4,Cult Clash,Edo
3675,IBD028312,2023-10-27,2023-10-27,1,Man Drowns in Beach,Lagos
3676,IBD028280,2023-10-26,2023-10-26,1,Farmer Killed,(FCT) Abuja
3677,IBD028264,2023-10-26,2023-10-26,4,Army vs Boko Haram,Yobe
3678,IBD028270,2023-10-26,2023-10-26,6,Banditry,Zamfara
3679,IBD028301,2023-10-26,2023-10-26,2,Boat Mishap,Lagos
3680,IBD028283,2023-10-26,2023-10-26,1,Electrocution,Edo
3681,IBD028269,2023-10-26,2023-10-27,3,Herdsmen Attack,Benue
3682,IBD028284,2023-10-26,2023-10-26,20,Communal Clash,Cross River
3683,IBD028254,2023-10-25,2023-10-25,1,Assailants vs Motorcyclist,Osun
3684,IBD028261,2023-10-25,2023-10-25,1,Gunmen vs Policeman,Abia
3685,IBD028263,2023-10-25,2023-10-25,6,Army vs Boko Haram,Yobe
3686,IBD028265,2023-10-25,2023-10-25,1,Police Kill 1,Rivers
3687,IBD028259,2023-10-25,2023-10-25,1,Ritual Killing,Rivers
3688,IBD028268,2023-10-25,2023-10-25,2,Soldiers vs Bandits,Kaduna
3689,IBD028291,2023-10-24,2023-10-24,1,Bandits Kill Woman,Katsina
3690,IBD028257,2023-10-24,2023-10-24,2,Bandits Attack,Kaduna
3691,IBD028258,2023-10-24,2023-10-24,1,Bandits Attack,Kaduna
3692,IBD028256,2023-10-24,2023-10-24,3,Gunmen Attack,Edo
3693,IBD028631,2023-10-24,2023-10-24,1,Man vs Wife,Lagos
3694,IBD028250,2023-10-24,2023-10-24,1,Domestic Violence,Benue
3695,IBD028246,2023-10-24,2023-10-24,2,Ansaru Attack,Kaduna
3696,IBD028251,2023-10-24,2023-10-24,4,Soldiers vs Bandits,Plateau
3697,IBD028234,2023-10-23,2023-10-23,1,Baby Dies,Abia
3698,IBD028247,2023-10-23,2023-10-23,1,Assailants vs Businesswoman,Akwa Ibom
3699,IBD028249,2023-10-23,2023-10-23,9,Army vs ISWAP,Borno
3700,IBD028230,2023-10-23,2023-10-23,1,Vigilante Member Dies,Edo
3701,IBD028248,2023-10-23,2023-10-23,3,Gunmen vs IDPs,Benue
3702,IBD028253,2023-10-23,2023-10-23,1,Woman vs Neighbour,Cross River
3703,IBD028233,2023-10-23,2023-10-23,3,Commuters,Kwara
3704,IBD028252,2023-10-23,2023-10-24,25,Army vs Bandits,Sokoto
3705,IBD028236,2023-10-22,2023-10-22,1,Security Operatives vs Bandits,Kebbi
3706,IBD028226,2023-10-22,2023-10-22,5,Auto Crash,Ogun
3707,IBD028235,2023-10-22,2023-10-22,7,Banditry,Katsina
3708,IBD028245,2023-10-22,2023-10-22,1,Ritual Killing,Oyo
3709,IBD028242,2023-10-22,2023-10-22,1,Assailants vs Student,Gombe
3710,IBD028224,2023-10-22,2023-10-22,2,Auto Crash,Kwara
3711,IBD028229,2023-10-22,2023-10-22,1,Woman Dies,Cross River
3712,IBD028232,2023-10-22,2023-10-22,1,Man vs Student,Bauchi
3713,IBD028676,2023-10-21,2023-10-21,8,Gunmen Attack,Plateau
3714,IBD029326,2023-10-21,2023-10-21,1,Medical Negligence,Lagos
3715,IBD028243,2023-10-21,2023-10-21,1,Ex-in-law vs Man,Niger
3716,IBD028227,2023-10-21,2023-10-21,5,Tanker Explosion,Kwara
3717,IBD028225,2023-10-21,2023-10-21,1,Army vs Gunmen,Imo
3718,IBD028217,2023-10-21,2023-10-21,1,Mysterious Death,Borno
3719,IBD028262,2023-10-21,2023-10-21,1,Student Kidnapper Kills Child,Plateau
3720,IBD028215,2023-10-20,2023-10-20,1,Mysterious Death,Abia
3721,IBD028212,2023-10-20,2023-10-20,6,Army vs ISWAP,Borno
3722,IBD028214,2023-10-20,2023-10-20,1,Mob vs Man,Nasarawa
3723,IBD028219,2023-10-20,2023-10-20,1,Mob vs Man,Kogi
3724,IBD028211,2023-10-20,2023-10-20,2,Boat Mishap,Niger
3725,IBD028216,2023-10-20,2023-10-20,1,Assassins vs Mother,Gombe
3726,IBD028220,2023-10-20,2023-10-20,7,Auto Crash,Osun
3727,IBD028209,2023-10-20,2023-10-20,1,Flooding,(FCT) Abuja
3728,IBD028223,2023-10-20,2023-10-20,1,Clerics vs Surveyor,Oyo
3729,IBD028208,2023-10-20,2023-10-20,9,Bank Robbery,Benue
3730,IBD028260,2023-10-20,2023-10-20,50,NAF vs Bandits,Niger
3731,IBD028218,2023-10-19,2023-10-19,1,Security Operatives vs Bandits,Bauchi
3732,IBD028231,2023-10-19,2023-10-19,5,Boat Mishap,Edo
3733,IBD028201,2023-10-19,2023-10-19,1,Auto Crash,Kwara
3734,IBD028221,2023-10-19,2023-10-19,3,Auto Crash,Akwa Ibom
3735,IBD028228,2023-10-19,2023-10-19,1,Boko Haram vs Customs Officer,Yobe
3736,IBD028210,2023-10-19,2023-10-19,1,Auto Crash,Anambra
3737,IBD028222,2023-10-19,2023-10-19,1,Student Dies,Kaduna
3738,IBD029860,2023-10-18,2023-10-18,1,Police Officer Killed One,Imo
3739,IBD028207,2023-10-18,2023-10-18,1,Gunmen vs Officer,Cross River
3740,IBD028192,2023-10-18,2023-10-18,2,Banditry,Kebbi
3741,IBD028197,2023-10-18,2023-10-18,23,Auto Crash,Yobe
3742,IBD028200,2023-10-18,2023-10-18,1,Assailants vs Corps Member,Kaduna
3743,IBD028204,2023-10-18,2023-10-18,1,Robbers vs Bread Seller,Kwara
3744,IBD028198,2023-10-18,2023-10-18,1,Man vs Community Volunteer Guard,Benue
3745,IBD028202,2023-10-18,2023-10-18,1,Man vs Teacher,Delta
3746,IBD028238,2023-10-18,2023-10-21,3,Bandits Attack,Kaduna
3747,IBD028205,2023-10-18,2023-10-18,1,Banditry,Kaduna
3748,IBD028193,2023-10-18,2023-10-18,2,Filling Station Fire,Ogun
3749,IBD028203,2023-10-18,2023-10-18,3,3 People Burnt To Death,Anambra
3750,IBD028190,2023-10-17,2023-10-17,5,Fulani Herdsmen Attack,Benue
3751,IBD028191,2023-10-17,2023-10-17,4,Fulani Herdsmen Attack,Benue
3752,IBD028196,2023-10-17,2023-10-17,4,Army vs Terrorist's,Kaduna
3753,IBD028188,2023-10-17,2023-10-17,1,Gunmen Kill Businessman,Niger
3754,IBD028267,2023-10-17,2023-10-17,1,Man vs Girlfriend,Delta
3755,IBD028186,2023-10-17,2023-10-17,1,Boy Dies,Ogun
3756,IBD028189,2023-10-17,2023-10-17,1,Assailants vs Lawmaker's Daughter,Borno
3757,IBD028436,2023-10-17,2023-10-17,1,Man vs Teenage Girl,Enugu
3758,IBD028194,2023-10-17,2023-10-17,1,Assailants vs Doctor,Nasarawa
3759,IBD018157,2023-10-16,2023-10-16,1,Ritual Killing,Oyo
3760,IBD028178,2023-10-16,2023-10-16,2,Twin Die,Lagos
3761,IBD028156,2023-10-16,2023-10-16,1,Man Kills Woman,Edo
3762,IBD028195,2023-10-16,2023-10-16,3,Banditry,Zamfara
3763,IBD028241,2023-10-16,2023-10-16,7,Boko Haram kills 7,Borno
3764,IBD028858,2023-10-15,2023-10-15,4,Cult Clash,Ebonyi
3765,IBD029709,2023-10-15,2023-10-15,1,Ritual Killing,Ondo
3766,IBD028180,2023-10-15,2023-10-15,4,Bandits Kill 2,Kaduna
3767,IBD028176,2023-10-15,2023-10-15,1,Auto Crash,Ogun
3768,IBD028181,2023-10-15,2023-10-15,1,Domestic Violence,Delta
3769,IBD028239,2023-10-15,2023-10-15,2,Assailants vs Women,Plateau
3770,IBD028240,2023-10-15,2023-10-15,1,Assailants Kill Man,Plateau
3771,IBD028255,2023-10-15,2023-10-15,1,Missing Genital,(FCT) Abuja
3772,IBD028173,2023-10-15,2023-10-15,1,Youths vs Police,Delta
3773,IBD028184,2023-10-15,2023-10-15,9,Gunmen vs Vigilante,Bauchi
3774,IBD028177,2023-10-14,2023-10-14,5,Fulani Herdsmen Attack,Oyo
3775,IBD028168,2023-10-14,2023-10-14,3,Auto Crash,Lagos
3776,IBD028172,2023-10-14,2023-10-14,1,Police vs Kidnapper,(FCT) Abuja
3777,IBD028305,2023-10-14,2023-10-20,20,Hoodlums vs Okada Riders,Ondo
3778,IBD028164,2023-10-14,2023-10-14,3,Cult Clash,Ogun
3779,IBD028171,2023-10-14,2023-10-14,55,NAF vs Terrorists,Borno
3780,IBD028169,2023-10-14,2023-10-14,3,Herders Kill 3,Benue
3781,IBD028266,2023-10-14,2023-10-14,15,Auto Crash,Oyo
3782,IBD028175,2023-10-14,2023-10-14,1,Flood Victim,Enugu
3783,IBD028162,2023-10-13,2023-10-13,9,Electrocution,Plateau
3784,IBD028185,2023-10-13,2023-10-13,1,Gunmen vs Registrar,Imo
3785,IBD028166,2023-10-13,2023-10-13,3,Herdsmen vs Travellers,Benue
3786,IBD028206,2023-10-13,2023-10-13,2,Hoodlums vs Teachers,Ebonyi
3787,IBD028237,2023-10-13,2023-10-13,1,Police vs Man,Anambra
3788,IBD028167,2023-10-13,2023-10-13,1,Army vs Bandit,Kaduna
3789,IBD028153,2023-12-10,2023-12-10,10,Tanker Crash,Lagos
3790,IBD028155,2023-12-10,2023-12-10,1,Thunder Strike,Benue
3791,IBD028163,2023-11-10,2023-11-10,1,Flood Disaster,Imo
3792,IBD028152,2023-11-10,2023-11-10,2,Gunmen Kill 2,Taraba
3793,IBD028160,2023-11-10,2023-11-10,10,IPOB/ESN vs Victims,Imo
3794,IBD028151,2023-11-10,2023-11-10,2,Building Collapse,Osun
3795,IBD028187,2023-11-10,2023-11-10,1,Gunmen vs NSCDC Personnel,Bauchi
3796,IBD028154,2023-11-10,2023-11-10,1,Bandits vs Ransom Bearer,Kaduna
3797,IBD028174,2023-11-10,2023-11-10,50,NAF vs Bandits,Zamfara
3798,IBD028143,2023-10-10,2023-10-10,4,Banditry,Sokoto
3799,IBD028148,2023-10-10,2023-10-10,3,Auto Crash,(FCT) Abuja
3800,IBD028146,2023-10-10,2023-10-10,1,Cultists vs Mechanic,Rivers
3801,IBD028183,2023-10-10,2023-10-10,1,Assailants vs Driver,Rivers
3802,IBD028150,2023-10-10,2023-10-10,3,Auto Crash,Ogun
3803,IBD028182,2023-10-10,2023-10-10,1,Kidnappers vs Man,Edo
3804,IBD028147,2023-10-10,2023-10-10,1,Gunmen vs Businessman,Rivers
3805,IBD028179,2023-10-10,2023-10-10,1,Domestic Violence,Akwa Ibom
3806,IBD028157,2023-10-10,2023-10-10,1,Security Operatives vs Kidnapper,Niger
3807,IBD028140,2023-10-10,2023-10-10,1,Auto Crash,Abia
3808,IBD028131,2023-10-10,2023-10-10,4,Auto Crash,Ogun
3809,IBD028199,2023-10-10,2023-10-10,1,Man KIlls Friend,Benue
3810,IBD028141,2023-10-10,2023-10-10,1,Sorcery,Bauchi
3811,IBD028144,2023-10-10,2023-10-10,1,Banditry,Niger
3812,IBD028213,2023-09-10,2023-09-10,1,Army vs Bandit,Benue
3813,IBD028161,2023-09-10,2023-09-10,1,Cab Driver,Ogun
3814,IBD028138,2023-09-10,2023-09-10,1,Haulage Driver,Anambra
3815,IBD028136,2023-09-10,2023-09-10,1,Assailant vs Woman,Delta
3816,IBD028134,2023-09-10,2023-09-10,2,Gunmen vs Vigilante,Delta
3817,IBD028132,2023-08-10,2023-08-10,1,Man vs Trader,Edo
3818,IBD028340,2023-08-10,2023-10-15,8,Inferno,Kano
3819,IBD028128,2023-08-10,2023-08-10,1,Banditry,Sokoto
3820,IBD028123,2023-07-10,2023-07-10,2,Thugs Clash,Kogi
3821,IBD028119,2023-07-10,2023-07-10,4,Banditry,Kaduna
3822,IBD028137,2023-07-10,2023-07-10,67,Police vs Kidnappers,Bauchi
3823,IBD028149,2023-07-10,2023-07-10,4,Gunmen Attack,Benue
3824,IBD028122,2023-07-10,2023-07-10,2,Herders vs Farmers,Kebbi
3825,IBD028376,2023-07-10,2023-07-10,5,Kidnap Victims,Kaduna
3826,IBD028129,2023-06-10,2023-06-10,4,Auto Crash,Imo
3827,IBD028126,2023-06-10,2023-06-10,2,Gunmen Attack,Imo
3828,IBD028133,2023-05-10,2023-05-10,1,Man vs Mob,(FCT) Abuja
3829,IBD028118,2023-05-10,2023-05-10,9,Man Kills 8,Adamawa
3830,IBD028105,2023-05-10,2023-05-10,9,Man Kills 9,Adamawa
3831,IBD028115,2023-05-10,2023-05-10,2,Banditry,Benue
3832,IBD028130,2023-05-10,2023-05-10,2,Auto Crash,Oyo
3833,IBD028139,2023-04-10,2023-04-10,1,Domestic Violence,Kwara
3834,IBD028111,2023-04-10,2023-04-10,1,Auto Crash,Lagos
3835,IBD028113,2023-04-10,2023-04-10,3,Auto Crash,Lagos
3836,IBD028108,2023-04-10,2023-04-10,1,Gunmen Attack,Osun
3837,IBD028112,2023-04-10,2023-04-10,1,Police vs Robbers,Lagos
3838,IBD028109,2023-04-10,2023-04-10,7,Communal Crisis,Osun
3839,IBD028100,2023-03-10,2023-03-10,3,Auto Crash,Lagos
3840,IBD028102,2023-03-10,2023-03-10,1,Church Building Collapse,Benue
3841,IBD027921,2023-02-10,2023-02-10,1,Brothers vs Man,Akwa Ibom
3842,IBD028135,2023-02-10,2023-02-10,5,Security Operatives Kill 5,Katsina
3843,IBD028099,2023-02-10,2023-02-10,23,Boat Mishap,Kebbi
3844,IBD028098,2023-02-10,2023-02-10,1,Bandits Kill LGA Councillor,Katsina
3845,IBD028094,2023-02-10,2023-02-10,3,Banditry,Sokoto
3846,IBD028114,2023-02-10,2023-02-10,1,Gunmen Attack,Kogi
3847,IBD028120,2023-02-10,2023-05-10,3,Gunmen Kill 3,Benue
3848,IBD028125,2023-02-10,2023-02-10,1,Man vs Station Manager,Edo
3849,IBD028092,2023-02-10,2023-02-10,12,Army vs Gunmen,Imo
3850,IBD028080,2023-02-10,2023-02-10,4,Electrocution,Taraba
3851,IBD028086,2023-02-10,2023-02-10,1,Gunmen Attack,Benue
3852,IBD028110,2023-02-10,2023-02-10,1,Vigilante vs Man,Niger
3853,IBD028089,2023-01-10,2023-01-10,1,Gunmen Kill Man,Delta
