Identifier,Title,Start date,End date,Number of deaths
IBD028029,"Man Dies Inside Well, Kano",19/09/2023,19/09/2023,1
IBD028059,"Herders Attack, Nasarawa",19/09/2023,19/09/2023,1
IBD028033,"Hunter vs Girl, Lagos",19/09/2023,19/09/2023,1
IBD028011,"Auto Crash, Anambra",18/09/2023,18/09/2023,1
IBD028116,"Man vs Friend, Imo",18/09/2023,18/09/2023,1
IBD028058,"Herders vs Farmers, Nasarawa",18/09/2023,19/09/2023,2
IBD028020,"Army vs Gunmen, Abia",18/09/2023,18/09/2023,3
IBD028019,"Security Operatives vs Gunmen, Enugu",18/09/2023,18/09/2023,3
IBD028027,"Police vs Kidnappers, Rivers",18/09/2023,18/09/2023,4
IBD028025,"Boy Dies, Lagos",18/09/2023,18/09/2023,1
IBD028028,"Bandits, Niger",17/09/2023,17/09/2023,4
IBD028055,"Herders vs Employer, Oyo",17/09/2023,17/09/2023,1
IBD028009,"Auto Crash, Ogun",17/09/2023,17/09/2023,5
IBD028032,"Doctor Dies, Lagos",17/09/2023,17/09/2023,1
IBD028018,"Flood Disaster, Plateau",17/09/2023,18/09/2023,4
IBD028024,"Banditry, Sokoto",17/09/2023,17/09/2023,10
IBD028007,"Communal Clash, Osun",17/09/2023,17/09/2023,1
IBD028023,"Banditry, Kebbi",17/09/2023,17/09/2023,15
IBD028041,"Boko Haram Kill Farmers, Borno",16/09/2023,16/09/2023,2
IBD028006,"Auto Crash, Kogi",16/09/2023,16/09/2023,1
IBD028022,"Gunmen vs Boy, FCT (Abuja)",16/09/2023,16/09/2023,1
IBD028001,"Assailant vs Man, Osun",16/09/2023,16/09/2023,1
IBD028015,"Auto Crash, Lagos",16/09/2023,16/09/2023,1
IBD028021,"Banditry, Kaduna",16/09/2023,16/09/2023,1
IBD028040,"Brothers vs Journalist, Zamfara",16/09/2023,16/09/2023,1
IBD027996,"Auto Crash, Ekiti",15/09/2023,15/09/2023,3
IBD028003,"Flooding, Lagos",15/09/2023,15/09/2023,1
IBD030670,"Police vs Man, Rivers",15/09/2023,01/09/2024,1
IBD028005,"Banditry, Kaduna",15/09/2023,15/09/2023,2
IBD027997,"Auto Crash, Anambra",15/09/2023,15/09/2023,5
IBD028012,"Police vs Kidnappers, Bauchi",15/09/2023,15/09/2023,10
IBD027990,"Man Kill Scavenger, FCT (Abuja)",14/09/2023,14/09/2023,1
IBD027994,"Cultist vs Student, Anambra",14/09/2023,14/09/2023,1
IBD028000,"Police vs IPOB/ESN, Ebonyi",14/09/2023,14/09/2023,1
IBD027984,"Gunmen Attack, Sokoto",14/09/2023,14/09/2023,4
IBD028013,"Complication, Lagos",14/09/2023,14/09/2023,1
IBD027974,"Auto Crash, FCT (Abuja)",13/09/2023,13/09/2023,4
IBD027982,"Assailants vs LP Chieftain, Abia",13/09/2023,13/09/2023,1
IBD027986,"Auto Crash, Kogi",13/09/2023,13/09/2023,3
IBD027977,"ISWAP vs Fishermen, Borno",13/09/2023,13/09/2023,7
IBD028016,"One Killed, Lagos",13/09/2023,13/09/2023,1
IBD028017,"Cult Killing, Ogun",13/09/2023,17/09/2023,16
IBD028051,"Man vs Wife, Borno",12/09/2023,12/09/2023,1
IBD028030,"Police vs Kidnappers, Delta",12/09/2023,12/09/2023,4
IBD027978,"Domestic Violence, Delta",12/09/2023,12/09/2023,1
IBD027980,"Flood Disaster, Lagos",12/09/2023,12/09/2023,1
IBD027975,"Farmers vs Herders, FCT (Abuja)",12/09/2023,12/09/2023,1
IBD027987,"Mysterious Death, Lagos",12/09/2023,12/09/2023,1
IBD028008,"Electrocution, Nasarawa",12/09/2023,12/09/2023,1
IBD028014,"Man vs Girlfriend, Lagos",12/09/2023,12/09/2023,1
IBD027967,"Gunmen vs Man, FCT (Abuja)",12/09/2023,12/09/2023,1
IBD027966,"Auto Crash, Lagos",12/09/2023,12/09/2023,1
IBD027976,"Electrocution, Anambra",12/09/2023,12/09/2023,1
IBD027969,"NURTW Factional Clash, FCT (Abuja)",12/09/2023,12/09/2023,1
IBD027960,"Boat Mishap, Adamawa",11/09/2023,11/09/2023,11
IBD027955,"Gunmen Attack, Plateau",11/09/2023,11/09/2023,11
IBD027971,"Herdsmen Attack, Enugu",11/09/2023,11/09/2023,3
IBD027963,"Police vs Kidnappers, Adamawa",11/09/2023,11/09/2023,2
IBD027956,"Gunmen vs Vigilante, Delta",11/09/2023,11/09/2023,1
IBD027972,"Banditry, Plateau",11/09/2023,11/09/2023,6
IBD027965,"NAF vs ISWAP, Borno",11/09/2023,11/09/2023,30
IBD027981,"Assailant vs Woman, Lagos",11/09/2023,11/09/2023,1
IBD027988,"Cultists vs Transport Worker, Lagos",11/09/2023,11/09/2023,1
IBD027957,"Communal Clash, Cross River",11/09/2023,11/09/2023,10
IBD028035,"Assailant vs Undergraduate, FCT (Abuja)",11/09/2023,11/09/2023,1
IBD027962,"Cult Killing, Edo",10/09/2023,10/09/2023,1
IBD027943,"Auto Crash, Ogun",10/09/2023,10/09/2023,2
IBD027944,"Auto Crash, Niger",10/09/2023,10/09/2023,1
IBD027946,"Corpse Found, Zamfara",10/09/2023,10/09/2023,1
IBD027961,"Cultists vs Man, Edo",10/09/2023,10/09/2023,1
IBD027958,"Residents vs Tailor, Lagos",10/09/2023,10/09/2023,1
IBD027940,"Boat Accident, Niger",10/09/2023,10/09/2023,28
IBD027959,"Cult Killing, Osun",10/09/2023,10/09/2023,4
IBD027938,"Domestic Violence, Gombe",10/09/2023,10/09/2023,1
IBD027993,"Gunmen Attack, Kaduna",10/09/2023,10/09/2023,1
IBD027985,"Auto Crash, Kogi",10/09/2023,10/09/2023,5
IBD027942,"Gunmen Attack, Taraba",10/09/2023,10/09/2023,1
IBD027941,"Security Operatives vs Kidnapper, Anambra",09/09/2023,09/09/2023,1
IBD027948,"Auto Crash, Kwara",09/09/2023,09/09/2023,1
IBD027939,"Gunmen vs Villagers, Enugu",09/09/2023,09/09/2023,3
IBD027936,"Boat Mishap, Adamawa",09/09/2023,09/09/2023,11
IBD027952,"Building Collapse, Ogun",09/09/2023,09/09/2023,2
IBD027970,"Auto Crash, Kogi",09/09/2023,09/09/2023,1
IBD027945,"Man vs Artisan, Edo",09/09/2023,09/09/2023,1
IBD027953,"Auto Crash, Ogun",09/09/2023,09/09/2023,1
IBD027949,"Banditry, Kebbi",09/09/2023,09/09/2023,2
IBD028010,"Student, Kwara",09/09/2023,09/09/2023,1
IBD027970,"Auto Crash, Kogi",09/09/2023,09/09/2023,1
IBD028039,"Boko Haram Kill Farmers, Borno",09/09/2023,09/09/2023,6
IBD028103,"Policeman Kill Farmer, Akwa Ibom",09/09/2023,02/10/2023,1
IBD027930,"Electrocution, Niger",08/09/2023,08/09/2023,1
IBD027932,"Auto Crash, Ogun",08/09/2023,08/09/2023,2
IBD027951,"Taxi Driver Dies, Rivers",08/09/2023,08/09/2023,1
IBD027937,"Cultists Kill DPO, Rivers",08/09/2023,08/09/2023,1
IBD027925,"DSS vs Fashion Designer, FCT (Abuja)",07/09/2023,07/09/2023,1
IBD027935,"Gunmen vs Guards, Benue",07/09/2023,07/09/2023,2
IBD027995,"Gunmen vs PDP Chieftain, Osun",07/09/2023,07/09/2023,1
IBD027933,"Domestic Violence, Rivers",07/09/2023,07/09/2023,1
IBD027931,"Bandits Kill Seminarian, Kaduna",07/09/2023,07/09/2023,1
IBD027954,"Assailant vs Tricyclist, Taraba",07/09/2023,07/09/2023,1
IBD027999,"Gunmen vs Policeman, Rivers",07/09/2023,07/09/2023,1
IBD028288,"Terrorists Attack, Borno",07/09/2023,07/09/2023,1
IBD027927,"Assailants vs Student, Ekiti",05/09/2023,05/09/2023,1
IBD027920,"Auto Crash, Ogun",05/09/2023,05/09/2023,2
IBD027922,"Kidnappers Kill Director, Niger",05/09/2023,05/09/2023,1
IBD027918,"Well Dredger, Kwara",05/09/2023,05/09/2023,1
IBD027929,"Police vs Kidnapper, Adamawa",05/09/2023,05/09/2023,1
IBD027983,"Auto Crash, Katsina",05/09/2023,05/09/2023,1
IBD027915,"Police vs Driver, Lagos",05/09/2023,05/09/2023,1
IBD027919,"Auto Crash, Ondo",05/09/2023,05/09/2023,6
IBD027907,"Electrocution, Anambra",04/09/2023,04/09/2023,1
IBD027998,"Labourer vs Farmer, Ondo",04/09/2023,04/09/2023,1
IBD027992,"Corpse Found, Kaduna",04/09/2023,04/09/2023,1
IBD027964,"Boat Mishap, Adamawa",04/09/2023,04/09/2023,2
IBD027903,"Corpse Found, Kwara",04/09/2023,04/09/2023,1
IBD028044,"Boat Mishap, Nasarawa",04/09/2023,04/09/2023,2
IBD027923,"Army vs Boko Haram, Borno",04/09/2023,04/09/2023,1
IBD027914,"Police vs Robbers, Benue",04/09/2023,04/09/2023,1
IBD028170,"Gunmen Kill 1, Benue",03/09/2023,03/09/2023,1
IBD027904,"Gunmen vs Businesswoman , Kwara",03/09/2023,03/09/2023,1
IBD027905,"Auto Crash, Kogi",03/09/2023,03/09/2023,12
IBD027901,"Gunmen Attack, Ekiti",03/09/2023,03/09/2023,1
IBD027906,"Cult Killing, Anambra",03/09/2023,03/09/2023,1
IBD027902,"Cult Killing, Kwara",03/09/2023,03/09/2023,3
IBD027885,"Police Cadet Dies, Kano",03/09/2023,03/09/2023,1
IBD027912,"Communal Clash, Rivers",03/09/2023,03/09/2023,1
IBD027888,"Auto Crash, Ogun",03/09/2023,03/09/2023,4
IBD027916,"Police vs Kidnappers, Enugu",03/09/2023,03/09/2023,3
IBD027889,"Police vs Kidnappers, Bauchi",02/09/2023,02/09/2023,28
IBD027917,"Footballer, kwara",02/09/2023,02/09/2023,1
IBD027886,"Auto Crash, Osun",02/09/2023,02/09/2023,6
IBD027890,"Flood Disaster, Kebbi",02/09/2023,02/09/2023,3
IBD027887,"Building Collapse, Anambra",02/09/2023,02/09/2023,3
IBD027891,"Hoodlums vs Vigilante, Niger",01/09/2023,01/09/2023,1
IBD027896,"Auto Crash, Ondo",01/09/2023,01/09/2023,2
IBD027895,"Man Dies, Kwara",01/09/2023,01/09/2023,1
IBD027894,"Banditry, Kaduna",01/09/2023,01/09/2023,7
IBD027892,"Building Collapse, Enugu",01/09/2023,01/09/2023,4
IBD027897,"Police vs Suspected Kidnappers, Imo",01/09/2023,01/09/2023,2
IBD027899,"Auto Crash, FCT (Abuja)",01/09/2023,01/09/2023,1
IBD028124,"Inferno, Kano",01/09/2023,07/09/2023,6
IBD028716,"Motorcycle Riders, Niger",01/09/2023,31/12/2023,3
IBD027926,"Landslide, FCT (Abuja)",01/09/2023,07/09/2023,30
IBD027973,"Assailant vs Woman, Kaduna",01/09/2023,01/09/2023,1
IBD028117,"Man vs Relative, Imo",01/09/2023,01/09/2023,1
IBD027872,"Cult Killing, Edo",31/08/2023,31/08/2023,5
IBD027893,"Ritual Killing, Ogun",31/08/2023,31/08/2023,1
IBD027866,"Dog vs Baby, Osun",31/08/2023,31/08/2023,1
IBD027876,"Assailants vs Man, Anambra",30/08/2023,30/08/2023,1
IBD027882,"Baby in the Pit, Anambra",30/08/2023,30/08/2023,1
IBD027913,"Police vs Kidnappers, Rivers",30/08/2023,30/08/2023,2
IBD027908,"Flooding, Yobe",30/08/2023,30/08/2023,1
IBD027881,"Flood Disaster, Adamawa",30/08/2023,30/08/2023,2
IBD027873,"Cult Killing, Edo",30/08/2023,30/08/2023,5
IBD027880,"Flood Disaster, Adamawa",30/08/2023,30/08/2023,2
IBD027870,"Auto Crash, Lagos",30/08/2023,30/09/2023,1
IBD027878,"Friends, Ogun",30/08/2023,30/08/2023,1
IBD027879,"Flood Disaster, Adamawa",30/08/2023,30/08/2023,1
IBD027874,"Auto Crash, Niger",30/08/2023,30/08/2023,1
IBD027934,"Domestic Violence, Edo",29/08/2023,29/08/2023,1
IBD027869,"Man vs Father, Ogun",29/08/2023,29/08/2023,1
IBD027868,"Flood Disaster, Anambra",29/08/2023,29/08/2023,1
IBD027991,"Gunmen Attack, Kaduna",29/08/2023,29/08/2023,1
IBD028287,"Boko Haram vs Imam, Borno",29/08/2023,29/08/2023,1
IBD027979,"Domestic Violence, Adamawa",29/08/2023,29/08/2023,1
IBD027865,"Security Operatives vs Kidnapper, Kwara",28/08/2023,28/08/2023,1
IBD027861,"Masquerade Clash, Enugu",28/08/2023,28/08/2023,1
IBD027862,"Security Operatives vs Trader, Imo",28/08/2023,28/08/2023,1
IBD027860,"Church Members Drown, Ogun",28/08/2023,28/08/2023,2
IBD027859,"Building Collapse, Borno",28/08/2023,28/08/2023,7
IBD027877,"Food Poison, Kano",28/08/2023,28/08/2023,1
IBD027910,"Troops Kill kidnappers, Plateau",28/08/2023,04/08/2023,1
IBD027871,"Kidnappers vs Driver, Kogi",28/08/2023,28/08/2023,1
IBD027989,"Gunmen Attack, Kaduna",28/08/2023,28/08/2023,1
IBD027863,"Police vs Kidnappers, Ebonyi",27/08/2023,27/08/2023,1
IBD027856,"Auto Crash/Medical Negligence, Lagos",27/08/2023,27/08/2023,1
IBD027854,"Soldiers vs Man, Lagos",26/08/2023,26/08/2023,1
IBD027843,"Flood Disaster, Anambra",26/08/2023,26/08/2023,2
IBD027837,"Fulani Herdsmen Attack, Plateau",26/08/2023,26/08/2023,1
IBD027838,"Ritual Killing , Ogun",26/08/2023,26/08/2023,1
IBD027924,"Hunter, Bayelsa",26/08/2023,26/08/2023,1
IBD027841,"Gunmen vs Police, Rivers",25/08/2023,25/08/2023,1
IBD027857,"Gunmen vs Youths, Rivers",25/08/2023,25/08/2023,2
IBD027840,"Assailants vs Police, Delta",25/08/2023,25/08/2023,1
IBD027898,"Couple vs Co-wife, Borno",25/08/2023,25/08/2023,1
IBD027829,"Robbers vs Army, Edo",24/08/2023,24/08/2023,1
IBD027732,"Auto Crash, Ogun",24/08/2023,24/08/2023,1
IBD027830,"Boat Mishap, Nasarawa",24/08/2023,24/08/2023,12
IBD027828,"Building Collapse, FCT (Abuja)",24/08/2023,24/08/2023,2
IBD027839,"Auto Crash, Imo",24/08/2023,24/08/2023,1
IBD027842,"Negligence, Ondo",24/08/2023,24/08/2023,1
IBD027832,"Bandits vs Customs Officers, Kebbi",24/08/2023,24/08/2023,2
IBD027835,"Assailants vs Woman , Benue",24/08/2023,24/08/2023,1
IBD027928,"Man Kill Over Food, Lagos",23/08/2023,23/08/2023,1
IBD027858,"Man vs Creditor, Kebbi",23/08/2023,23/08/2023,1
IBD027831,"Boko Haram vs ISWAP, Borno",23/08/2023,23/08/2023,41
IBD027825,"Ritual Killing, Rivers",23/08/2023,23/08/2023,1
IBD027833,"Bandits vs Pastor, Kaduna",23/08/2023,23/08/2023,1
IBD027821,"Man Kill Son, Akwa Ibom",22/08/2023,22/08/2023,1
IBD028093,"Miners Killed, Plateau",21/08/2023,21/08/2023,33
IBD027818,"Babies, Benue",21/08/2023,21/08/2023,2
IBD027814,"Vigilante vs Kidnappers, Rivers",21/08/2023,21/08/2023,2
IBD027815,"Electrocution, Rivers",21/08/2023,21/08/2023,5
IBD027850,"Kidnappers vs Man, Osun",21/08/2023,21/08/2023,1
IBD027813,"Robbers Kill Man, Imo",21/08/2023,21/08/2023,1
IBD027826,"Man vs Lover, Edo",21/08/2023,21/08/2023,1
IBD027795,"Bandits vs Army, Zamfara",21/08/2023,21/08/2023,2
IBD027819,"Land Dispute, Benue",21/08/2023,22/08/2023,6
IBD027845,"Mob vs Armed Robber, Lagos",20/08/2023,20/08/2023,1
IBD027811,"Gunmen vs Livestock Guard Commander, Benue",20/08/2023,20/08/2023,1
IBD027812,"Robbers vs Retired Police Officer, Imo",20/08/2023,20/08/2023,2
IBD027824,"Soldiers vs IPOB/ESN, Imo",20/08/2023,20/08/2023,1
IBD027804,"Banditry, Katsina",20/08/2023,20/08/2023,1
IBD027864,"Mysterious Death, Enugu",20/08/2023,27/08/2023,6
IBD027823,"Police vs Kidnappers, Enugu",20/08/2023,21/08/2023,2
IBD028002,"Pregnancy Complication, FCT (Abuja)",19/08/2023,19/08/2023,2
IBD029826,"Gunmen Attack, Kaduna",19/08/2023,19/08/2023,1
IBD027867,"Ritual Killing, Bauchi",19/08/2023,19/08/2023,1
IBD027801,"Auto Crash, Osun",19/08/2023,19/08/2023,3
IBD027822,"Domestic Violence, Bauchi",19/08/2023,19/08/2023,1
IBD028457,"Auto Crash, Yobe",19/08/2023,19/08/2023,1
IBD027798,"Kidnap Suspect, Niger",18/08/2023,18/08/2023,1
IBD027806,"Banditry, Katsina",18/08/2023,18/08/2023,3
IBD027799,"Police Officer vs Tricycle Rider, Kogi",18/08/2023,18/08/2023,1
IBD027803,"Assailants vs Prison Official, Delta",18/08/2023,18/08/2023,1
IBD027808,"Flood Disaster, Cross River",18/08/2023,18/08/2023,1
IBD027805,"Banditry, Katsina",18/08/2023,18/08/2023,1
IBD027797,"NAF Jet Kills 1, Niger",18/08/2023,18/08/2023,1
IBD027802,"Soldiers vs Driver, Lagos",17/08/2023,17/08/2023,1
IBD027796,"Thunder Strike, Kwara",17/08/2023,17/08/2023,1
IBD027794,"Cult Killing, Delta",16/08/2023,16/08/2023,1
IBD027790,"Auto Crash, Ogun",15/08/2023,15/08/2023,3
IBD030875,"Medical Negligence, Lagos",15/08/2023,15/08/2023,1
IBD027786,"Gunmen Attack, Kaduna",15/08/2023,15/08/2023,1
IBD027787,"Oil Rig Collapse, Delta",15/08/2023,15/08/2023,1
IBD027781,"Auto Crash, Ogun",15/08/2023,15/08/2023,1
IBD027780,"Auto Crash, Ogun",15/08/2023,15/08/2023,1
IBD027791,"Auto Crash, Ogun",15/08/2023,15/08/2023,3
IBD027783,"Police vs Armed Robbers, Delta",14/08/2023,14/08/2023,3
IBD027774,"NAF Helicopter Crash, Niger",14/08/2023,14/08/2023,9
IBD027767,"Herdsmen Attack, Plateau",14/08/2023,14/08/2023,2
IBD027777,"Bandit Attack, Zamfara",14/08/2023,14/08/2023,1
IBD027793,"Domestic Violence, Lagos",14/08/2023,14/08/2023,1
IBD027785,"Army vs Armed Robbers, Kaduna",14/08/2023,14/08/2023,2
IBD027789,"Gunmen vs Pastor's Wife, Edo",14/08/2023,14/08/2023,1
IBD027784,"Vigilante Clash, Kogi",14/08/2023,14/08/2023,1
IBD027766,"Auto Crash, Akwa Ibom",13/08/2023,13/08/2023,2
IBD027779,"Gunmen Attack, Benue",13/08/2023,13/08/2023,2
IBD027772,"Banditry vs Soldiers, Niger",13/08/2023,14/08/2023,58
IBD027775,"Suspected Cultist Kills 6, Ogun",13/08/2023,13/08/2023,6
IBD027745,"Boko Haram Kill Farmer, Borno",13/08/2023,13/08/2023,1
IBD027816,"Sex Romp, Abia",12/08/2023,12/08/2023,1
IBD027762,"Tank Collapse, Edo",12/08/2023,12/08/2023,1
IBD027778,"Gunmen Attack, Bayelsa",12/08/2023,12/08/2023,1
IBD027769,"Ritual Killing, Ondo",12/08/2023,12/08/2023,1
IBD027764,"Auto Crash, Anambra",12/08/2023,12/08/2023,5
IBD027761,"Hoodlums vs man, Adamawa",12/08/2023,12/08/2023,1
IBD027792,"Man vs Wife, Edo",12/08/2023,12/08/2023,1
IBD027771,"Ritual Killing, Oyo",11/08/2023,11/08/2023,1
IBD029522,"Motorcyclist vs Policeman, Lagos",11/08/2023,11/08/2023,1
IBD027750,"Army vs Bandits , Kaduna",11/08/2023,11/08/2023,3
IBD027758,"Communal Clash, Enugu",11/08/2023,11/08/2023,4
IBD027763,"Flood Disaster, Lagos",11/08/2023,11/08/2023,3
IBD027744,"Mosque Collapse, Kaduna",11/08/2023,11/08/2023,10
IBD027834,"Monarch Kills 2, Akwa Ibom",11/08/2023,11/08/2023,2
IBD027755,"Fulani herdsmen Attacks, Plateau",11/08/2023,11/08/2023,2
IBD027807,"Banditry, Niger",11/08/2023,11/08/2023,2
IBD027752,"Kidnappers Kill 2, Enugu",11/08/2023,11/08/2023,2
IBD027749,"Osun Osogbo Festival, Osun",11/08/2023,11/08/2023,3
IBD027746,"Gunmen Kill 5, Benue",11/08/2023,11/08/2023,5
IBD027968,"Ritual Killing, Bauchi",10/08/2023,10/08/2023,2
IBD027735,"Fulani Attack, Plateau",10/08/2023,10/08/2023,21
IBD027765,"Gunmen/Kidnappers, FCT (Abuja)",10/08/2023,10/08/2023,1
IBD027751,"Police vs IPOB/ESN, Enugu",10/08/2023,10/08/2023,3
IBD027884,"Man vs Lover, Lagos",10/08/2023,10/08/2023,1
IBD027754,"Kidnappers Kill Bricklayer, Jigawa",09/08/2023,09/08/2023,1
IBD027737,"Taskforce vs Drivers, Anambra",09/08/2023,09/08/2023,2
IBD027726,"Kidnappers vs Hunter, Edo",09/08/2023,09/08/2023,1
IBD027768,"Army vs Boko Haram, Borno",09/08/2023,09/08/2023,2
IBD027788,"Boko Haram vs ISWAP, Borno",09/08/2023,16/08/2023,100
IBD027722,"Auto Crash, Lagos",09/08/2023,09/08/2023,2
IBD027753,"Boy Killed, Jigawa",09/08/2023,09/08/2023,1
IBD027728,"Auto Crash, Ogun",09/08/2023,09/08/2023,1
IBD027759,"Hoodlums vs Islamic Scholar, Gombe",09/08/2023,09/08/2023,1
IBD027729,"Mob vs Armed Robber, Akwa Ibom",09/08/2023,09/08/2023,2
IBD028338,"Phone Snatchers vs Man, Gombe",09/08/2023,09/08/2023,1
IBD028337,"Phone Snatcher vs Woman, Gombe",09/08/2023,09/08/2023,1
IBD027757,"Kidnappers Kill Man, FCT (Abuja)",08/08/2023,08/08/2023,1
IBD027731,"Domestic Violence, Adamawa",08/08/2023,08/08/2023,1
IBD027725,"Auto Crash, Imo",08/08/2023,08/08/2023,5
IBD027714,"Auto Crash, FCT (Abuja)",08/08/2023,08/08/2023,1
IBD027727,"Bandits Kill 3, Taraba",08/08/2023,08/08/2023,3
IBD027718,"Kidnappers, Osun",08/08/2023,08/08/2023,2
IBD027747,"Gunmen vs Soldiers, Rivers",08/08/2023,08/08/2023,2
IBD027730,"Banditry, Katsina",08/08/2023,08/08/2023,1
IBD027760,"Gunmen Kill Market Leader, Benue",08/08/2023,08/08/2023,1
IBD027703,"Gunmen Attack, Plateau",07/08/2023,07/08/2023,4
IBD027704,"Extrajudicial Killing, Plateau",07/08/2023,07/08/2023,1
IBD027705,"Boat Mishap, Kebbi",07/08/2023,07/08/2023,8
IBD027739,"Auto Crash, Lagos",07/08/2023,07/08/2023,2
IBD027734,"Bandits vs Groom, Niger",07/08/2023,07/08/2023,1
IBD027740,"Found Dead, Rivers",07/08/2023,07/08/2023,1
IBD027717,"Mob vs Thief, Delta",07/08/2023,07/08/2023,1
IBD027715,"Motorcycle Rider vs Man, Kwara",07/08/2023,07/08/2023,1
IBD027721,"Army vs Bandits, Kaduna",07/08/2023,07/08/2023,3
IBD027708,"Auto Crash, Edo",06/08/2023,06/08/2023,2
IBD027719,"Native Doctor Kills Servant, Imo",06/08/2023,06/08/2023,1
IBD027724,"Police vs Kidnappers, Bauchi",06/08/2023,06/08/2023,1
IBD027756,"Man vs Brother's Son, Ogun",06/08/2023,06/08/2023,2
IBD027709,"Villager vs Bandits' Leader, Kaduna",06/08/2023,06/08/2023,4
IBD027691,"Coach vs Ex-lover, Ondo",06/08/2023,06/08/2023,1
IBD027710,"Army vs Terrorists, Sokoto",06/08/2023,06/08/2023,1
IBD027711,"Army vs Terrorists, Katsina",06/08/2023,06/08/2023,3
IBD027720,"Soldiers vs Bandits, Zamfara",06/08/2023,06/08/2023,10
IBD027748,"Domestic Violence, Ogun",06/08/2023,06/08/2023,1
IBD027900,"Medical Negligence, Lagos",06/08/2023,28/08/2023,2
IBD027689,"Lady Dies Inside Well, Kwara",05/08/2023,05/08/2023,1
IBD027742,"Cultists Kill Man, Delta",05/08/2023,05/08/2023,1
IBD027695,"Mining Site Collapse, Bauchi",05/08/2023,05/08/2023,4
IBD027688,"Police Kill Man, Rivers",05/08/2023,05/08/2023,1
IBD027693,"Senators Aide Killed, Lagos",05/08/2023,05/08/2023,1
IBD027692,"Ritual Killing, Ondo",05/08/2023,05/08/2023,1
IBD027697,"Auto Crash, Ekiti",05/08/2023,05/08/2023,1
IBD027741,"Motorcycle Thief, FCT (Abuja)",05/08/2023,05/08/2023,1
IBD027733,"Task Force vs Student, Adamawa",05/08/2023,05/08/2023,1
IBD027716,"Army vs Terrorists, Borno",04/08/2023,05/08/2023,11
IBD027694,"Police vs Bandits, Zamfara",04/08/2023,04/08/2023,1
IBD027679,"Truck Driver, Enugu",03/08/2023,03/08/2023,1
IBD027883,"Armed Robbers vs Police, Lagos",03/08/2023,03/08/2023,1
IBD027699,"Charm Testing, Ondo",03/08/2023,03/08/2023,1
IBD027683,"Police vs Robber, Akwa Ibom",02/08/2023,02/08/2023,1
IBD027738,"Bandits Kill 2, Niger",02/08/2023,09/08/2023,2
IBD027682,"Boat Mishap, Kebbi",02/08/2023,02/08/2023,9
IBD027809,"Rape to Death, Katsina",02/08/2023,02/08/2023,1
IBD027676,"Building Collapse, Ondo",02/08/2023,02/08/2023,1
IBD027687,"Gunmen vs District Head, Plateau",02/08/2023,02/08/2023,1
IBD027681,"Mob vs Man, Edo",02/08/2023,02/08/2023,1
IBD027696,"Bandits Attack, Kaduna",02/08/2023,02/08/2023,1
IBD027636,"Cult Killing, Anambra",02/08/2023,02/08/2023,1
IBD027675,"Gunmen Kill 3, Plateau",02/08/2023,02/08/2023,3
IBD027712,"Police vs Kidnappers, Bauchi",02/08/2023,02/08/2023,1
IBD027698,"Soldier vs Captain, Adamawa",01/08/2023,01/08/2023,1
IBD027672,"Elevator Accident, Lagos",01/08/2023,01/08/2023,1
IBD027677,"Ritual Killing, Ekiti",01/08/2023,01/08/2023,1
IBD027662,"Rape Victim, Taraba",01/08/2023,01/08/2023,1
IBD027678,"Communal Clash, Benue",01/08/2023,01/08/2023,1
IBD027674,"Gunmen Kill 2, Niger",01/08/2023,01/08/2023,2
IBD027671,"Army vs Bandits, Katsina",01/08/2023,01/08/2023,2
IBD027680,"Cult Killing, Lagos",01/08/2023,01/07/2023,1
IBD027663,"Bandits Attack, Zamfara",31/07/2023,31/07/2023,3
IBD027706,"Cultists vs Man, Cross River",31/07/2023,06/08/2023,2
IBD027669,"Land Dispute Claims 1, Edo",31/07/2023,31/07/2023,1
IBD027713,"Explosion, Rivers",31/07/2023,31/07/2023,18
IBD027668,"Cult Killing, Edo",31/07/2023,31/07/2023,1
IBD027654,"Boko Haram vs Farmers, Borno",31/07/2023,31/07/2023,11
IBD027657,"Auto Crash, Jigawa",31/07/2023,31/07/2023,4
IBD027658,"Auto Crash, Kaduna",31/07/2023,31/07/2023,3
IBD027673,"Gunmen vs Farm Manager, Kwara",31/07/2023,31/07/2023,1
IBD027659,"Bandits Kill 3, Plateau",30/07/2023,30/07/2023,3
IBD027686,"Soldiers vs Boko Haram, Borno",30/07/2023,30/07/2023,1
IBD027651,"Warehouse Looting, Adamawa",30/07/2023,30/07/2023,3
IBD027656,"Auto Crash, Ondo",30/07/2023,30/07/2023,2
IBD027660,"Robbers vs Tricycle Rider, Yobe",30/07/2023,30/07/2023,1
IBD027653,"Decomposing Corpse, Ogun",30/07/2023,30/07/2023,1
IBD027648,"Police vs Kidnap Suspect, Imo",29/07/2023,29/07/2023,1
IBD027649,"Assailants vs Woman, Lagos",29/07/2023,29/07/2023,1
IBD027664,"Police vs Tea Vendor, Kaduna",29/07/2023,29/07/2023,1
IBD027650,"Police vs Kidnapper, Delta",29/07/2023,29/07/2023,1
IBD027743,"Cultists Kill Man, Delta",28/07/2023,28/07/2023,1
IBD027644,"NAF vs ISWAP, Borno",28/07/2023,28/07/2023,40
IBD027550,"Assailants vs Woman, Osun",28/07/2023,28/07/2023,1
IBD027645,"Flood Disaster, Gombe",28/07/2023,28/07/2023,1
IBD027670,"NAF vs Terrorists, Zamfara",28/07/2023,29/07/2023,15
